Title,Job Offer Link,COMPANY,LOCATION,JOB DESCRIPTION / ROLE,REQUIREMENTS,ABOUT THE COMPANY,Other jobs you might be interested in,Salary
Accounting Manager,https://www.gulftalent.com/uae/jobs/accounting-manager-396521,Michael Page,UAE,"Employment Full Time,Currently partnered with a group of companies within the shipping industry. They are seeking a dynamic and experienced Accounting Manager to join their leadership team, based in Dubai, UAE.,Client Details,The client is a leading player in the shipping and trading industry, specialising in the transportation and trade of various raw materials. Headquartered in Bangladesh, they have a global presence and maintain strong partnerships with businesses across the Middle East and Asia.,Description,Financial Transactions Management:, * Oversee and manage all financial transactions related to shipping operations., * Ensure accuracy and timeliness in recording financial entries, including invoices, expenses, and revenue recognition.,Accounting Statements and Systems:, * Develop and maintain accounting systems to track and report financial data., * Prepare regular financial statements, including balance sheets, income statements, and cash flow statements.,Working Capital Flow and Cash Flows:, * Project and analyse working capital flow to optimise liquidity and operational efficiency., * Develop and monitor cash flow forecasts to ensure adequate funds for ongoing operations.,Funds Management:, * Collaborate with the treasury team to manage funds effectively., * Implement strategies for investment and risk management.,Bank Relations:, * Build and maintain strong relationships with banks and financial institutions., * Negotiate financial agreements and terms with banking partners.,Shipping Background:, * Leverage previous experience in the shipping industry to navigate complex financial transactions associated with bulk carriers., * Understand the unique financial aspects of shipping operations.","Bachelor's degree in Accounting, Finance, or a related field. Professional certification (e.g., ACCA, CPA) is a plus.,Proven experience as an Accounting Manager, preferably in the shipping or trading industry.,Familiarity with bulk carriers and the intricacies of shipping financial transactions.,Strong analytical skills with the ability to interpret financial data and make strategic recommendations.,Excellent communication and interpersonal skills for effective collaboration with internal teams and external partners.","Michael Page is one of the world's leading professional recruitment consultancies, specializing in the placement of candidates in permanent, contract, temporary and interim positions with clients around the world.,The Group has operations in the UK, Continental Europe, Asia-Pacific and the Americas. In the Middle East we focus on the areas of:,Finance & Accounting,Banking & Financial Services,Procurement ,Property & Construction,Engineering & Supply Chain,Oil & Gas Technical and Engineering ,Sales,Marketing,Technology,Secretarial,Executive Search,Legal,The Group operates through 161 offices in 33 countries and employs over 5,000 employees worldwide.","Accountant,Finance Manager,Michael Page,Management Accountant - Finance,Chief Accountant,ScanCruit,Robert Half",
Arabic Speaking Sales Executive for International Jewellery Brand,https://www.gulftalent.com/uae/jobs/arabic-speaking-sales-executive-for-international-jewellery-brand-396689,Maximilian London Jewellery,"Dubai, UAE","Employment ,Full Time,MaximiliaN London is a global brand active in the high-end watch and jewellery industry. Entirely independent and pursuing a time-honoured tradition since 1999, the brand is well-known worldwide. Headquartered in London, England, it produces exceptional watch and jewellery creations, in line with its values of quality, creativity and heritage.,International Jewellery House of MaximiliaN London is now recruiting for the position of Sales Executive at its flagship boutique located in the Dubai Mall – Grand Atrium.,In line with the Company’s diversity policy, female candidates will be preferred with at least 2 years of sales experience in the jewellery, watches and luxury market segments.,AED 9,000 to 11,000","Bachelor’s degree in Business Administration, Marketing (preferred),5+ years of retail/relevant experience in the luxury sector (preferred),Deep understanding and knowledge of brand and full range of all products, stones, history and services to convey the brands heritage and values,Knowledge and understanding of security, logistics, and operational procedures (i.e. product handling, inventory control, etc.),Good understanding of the relevant marketplace and client demographic,Strong negotiation skills with excellent communication and interpersonal skills,Proficient in MS Office, computer knowledge,Experience and working knowledge of CRM systems,Demonstrable track record of over-achieving quota,Strong written and verbal communication skills,Fluency in English (essential),Proficiency in Arabic/Chinese (preferred)","Jewellery House MaximiliaN-London is best known for its exceptional expertise, transformers jewelry sets and the precious stones investment services.,The Jewellery House of MaximiliaN-London was founded in 2005 and is best known for its expertise, handmade craftsmanship and innovative precious stone settings.,All the MaximiliaN-London jewels are transformers. The brooch is easily converted into a ring, necklace into a bracelet, earrings into pendants. Only the rarest, most valuable and largest precious gemstones in the world such as Burmese Rubies, Colombian Emeralds, Kashmir and Burmese Sapphires are used in the production.,Explore Maximilian London Jewellery careers",,
Assistant Fraud Risk Manager,https://www.gulftalent.com/uae/jobs/assistant-fraud-risk-manager-396587,Flow Talent,UAE,"Employment ,Full Time,Flow Talent is working with a leading bank who are hiring an Assistant Fraud Risk Manager for their Umm Al Quwain office. ,Please note that you must meet all the criteria set out below for your application to be considered. Suitable candidates will be contacted within 5 working days. If you are not contacted by us within that time, please consider your application unsuccessful on this occasion. ,Key aspects of the role include: ,- Serve as a point of contact for subject matter expertise on topics related to fraud prevention.  ,-  Implement and manage the Enterprise fraud monitoring system.  ,-  Develop and implement comprehensive fraud prevention strategies.  ,-  Implement monitoring tools and systems to detect suspicious activities and potential fraud incidents.  ,-  Prepare and present regular reports on fraud risk management activities to management.  ,-  Provide insights into emerging fraud trends and recommend improvement to the risk management strategy.  ,-  Conduct and lead the investigations related to suspected fraud incidents.  ,-  Develop content for fraud awareness training and campaigns.  ,-  Liaise with external partners such as regulatory bodies and banks to maintain intelligence exchange.","To be successful you will need to meet the following: ,- Bachelor's Degree in Accounting & Auditing, Mathematics, Statistics, Actuarial Sciences, Economics, Criminal Justice, or similar. Certified Fraud Examiner is a plus.  ,-  Graduate/Postgraduate in Financial Engineering.  ,-  Minimum 10 years' experience of which at least 7 years in criminal fraud investigation in a local bank in the UAE or large-sized bank in other geographies.  ,-  In-depth knowledge of fraud prevention and detection techniques, technologies, and industry best practices.  ,-  Implemented and managed an Enterprise fraud monitoring system.  ,-  Knowledge of Principles, theories, and practices of law enforcement court/ hearing, records, rules, procedures, and protocol.  ,-  Must have managed a team of 6-10 professionals.  ,-  Applicants should be available for face-to-face interviews in the location mentioned above.  ,Must read: 85% of employees in the banking sector are expecting a salary increase this year.","Flow Talent have been sourcing the best Banking, Technology, Financial Services & Legal professionals locally and internationally for leading organisations across the Middle East region since 2018.,Through years of experience, we know there is significant demand for highly skilled professionals and pride ourselves on having the highest calibre candidates. As a team, we strive to help our clients achieve operational and business excellence by identifying quality talent, quickly, through our collaborative approach.,- Banking & Financial Services,- Digitalisation & Technology,- Legal & Compliance,-   Retained Recruitment,-   Emiratization and Saudization,-   Market Entry,Explore Flow Talent careers",,
Assistant Manager  - BCM and ORM,https://www.gulftalent.com/uae/jobs/assistant-manager-bcm-and-orm-396586,Flow Talent,UAE,"Employment Full Time. Flow Talent is working with a leading bank who are recruiting an Assistant Manager - BCM and ORM to be based in Umm Al Quwain . ,- Assist in the development, testing, and implementation of improvements and efficiencies in all areas of Business Continuity Management.  ,-  Conduct business impact analysis and risk assessments to identify critical business functions and potential risks.  ,-  Coordinate and oversee all business continuity planning and disaster recovery activities as required.  ,-  Take a lead role in the development and maintenance of the operational risk management framework.  ,-  Complete and perform assurance testing for the risk and control self-assessment process.  ,-  Develop and establish appropriate key risk indicators for the business units and ensure effective monitoring for any breaches.  ,-  Report and maintain operational loss databases through analysis of incident reports.  ,-  Track and monitor remediation plans for operational risks until completion.  ,-  Stay abreast of industry practices and all regulations related to BCM and ORM.  ,-  Any other tasks/projects assigned by the Manager.","To be successful you will need to meet the following ,- Bachelor's Degree in Accounting & Auditing, Mathematics, Statistics, Actuarial Sciences , Economics, Criminal Justice, or similar.  ,-  Graduate/Postgraduate in Financial Engineering  ,-  Minimum 10 years' experience of which at least 7 years in BCM / ORM in a local bank in the UAE or large-sized bank in other geographies. MBCI or CORP is a plus.  ,-  In-depth knowledge of fraud prevention and detection techniques, technologies, and industry best practices.  ,-  Experience in using and managing Automated fraud detection/data interrogation tools.  ,-  Experience in developing evidence related to accounting transactions.  ,-  Knowledge of Principles, theories, and practices of law enforcement court/ hearing, records, rules, procedures, and protocol.  ,-  Must have managed a team of 6-10 professionals.  ,-  Applicants should be available for face-to-face interviews in the location mentioned above.  ,ABOUT THE COMPANY,Flow Talent have been sourcing the best Banking, Technology, Financial Services & Legal professionals locally and internationally for leading organisations across the Middle East region since 2018.,Through years of experience, we know there is significant demand for highly skilled professionals and pride ourselves on having the highest calibre candidates. As a team, we strive to help our clients achieve operational and business excellence by identifying quality talent, quickly, through our collaborative approach.,Flow place professionals in the following sectors:,- Banking & Financial Services,- Digitalisation & Technology,- Legal & Compliance,-   Contingent Recruitment:,-   Retained Recruitment,-   Emiratization and Saudization,-   Market Entry",,,
Back End Developer - Senior,https://www.gulftalent.com/uae/jobs/back-end-developer-senior-379339,Sonorbi,"Dubai, UAE","Full Time,Develop and maintain the back-end of website,Build reusable code and libraries for future use,Optimize the website for maximum speed, adaptivity and scalability,Stay up to date with emerging trends and technologies in web development,Conduct quality assurance testing to ensure high-performance, bug-free code, and troubleshoot and debug issues as they arise","More than 5 years' experience in a similar position is required,Strong understanding of Dotnet core, REST API, CHSARP and SQL.,Knowledge of Databases,Familiar with modern and commonly used software design and architectural patterns,Experience with UX/UI Optimization,Excellent problem-solving skills and the ability to troubleshoot issues quickly,Ability to work independently and as part of a team,Strong organizational skills, with the ability to manage multiple projects simultaneously,Excellent communication skills, both written and verbal,Good Crisis/Bug Management,Solution and Optimization Oriented,Work in a fast-paced work environment. Priorities change from day to day.,University Level Degree (preferred in Engineering or IT) / Master’s in Information Technology,Rigorous, dynamic, detail-oriented, quick learner and able to work in a high-pressure environment.,Demonstrated analytical and problem-solving skills.,Good interpersonal and communication skills (written and oral),Self-motivated, dynamic and results oriented.,Ability to coordinate and facilitate project execution and delivery commitment with other teams in different operational time zones.,Fluency in English (French appreciated),An international and multicultural environment with the opportunity to work in one of the IT sector’s most exciting and interesting growth areas ,Opportunities to gain responsibility, dedication, and skill development with our Suadeo expert team ,The chance to gain valuable technical, project management and communication skills ,Competitive compensation and benefits package: base salary, housing allowance, annual flight ticket home, 22 working days’ vacation days per year, one of the best medical insurances in GCC.","Since its inception in 2004, Suadeo a french software company has pursued the same objective and that is to provide a Self BI Platform which:,Ensures an optimal responsiveness and a real user autonomy for their data usage,Gives the users an upper hand on leveraging their business acumen in constructing multidimensional data analysis, building dashboards and reports.,Enables the users to run successful data analytics to obtain a clear picture of where the business is, where it has been and where it should go.,Because Dashboarding and reporting tools alone are not enough to offer the freedom users require to run analysis as a support for strategic decision making. Suadeo Designer®, the Suadeo Self BI Platform combines Data Governance and DataViz, to free up non-IT users in their data analysis production, their data flows exchange, their cataloging as well as their Restitution, while being 100% integrable into any information system.","Front End Developer,Sonorbi,API Integration Software Engineer,ManpowerGroup Middle East,Full Stack Developer,Rayan Technologies,Full Stack Java Developer,Charterhouse",
Business Development Manager,https://www.gulftalent.com/uae/jobs/business-development-manager-396681,Quest Search & Selection,UAE,"Full Time. Identify potential partnerships with theme parks, attractions, and resorts.,Develop and execute sales presentations and proposals.,Negotiate, close, and integrate contract requirements with business operations.,Maintain market awareness and understand the competition.,Build rapport with senior management in partner organizations.,Strengthen and develop existing partnerships.,Possess strong communication, negotiation, and influencing skills.","Sales Savvy: Demonstrated success in B2B sales, preferably with 3+ years of experience. ,Strategic Thinker: Ability to develop and execute sales strategies for new business growth. ,Relationship Builder: Skilled at building and sustaining rapport with clients and partners. ,Market Awareness: Maintains a deep understanding of market dynamics and competition. ,Communication Pro: Strong written and oral communication skills with an assertive yet pleasant demeanor. ,Passion for Success: A driven individual with a passion for sales and a track record of achieving targets. ,Photography Enthusiast: A unique passion for photography that aligns with our industry.","Quest Search & Selection is a specialist recruitment consultancy with over 20 years' experience in sourcing the world's best candidates for the global Retail, FMCG and Hospitality sectors.,With offices in the UK & Dubai, we have an international presence and a global reach. Our recruiters place candidates locally and internationally for a wide variety of roles focusing on the following areas:,Retail Buying & Merchandising, E-commerce & Digital, Food & Beverage, Hotels, Hospitality & Operations, Retail Stores & Operations, HR & Recruitment, Procurement, Supply Chain & Logistics, Sales & Marketing, Technical and New Product Development.,We work in partnership with our clients who range from famous international brands within the Retail, Restaurant, Hotel and Consumer products space. Our reputation is built on our in-depth understanding of the industry and our consultants' skill, knowledge and passion for their sectors.",,
Business Operations Specialist,https://www.gulftalent.com/uae/jobs/business-operations-specialist-396523,Metaworld Technology,"Dubai, UAE","Full Time Key Responsibilities Coordinate the production, editing, and delivery of short-form video content, ensuring alignment with content strategy and audience preferences. ,Collaborate with content creators and production teams to generate engaging and high-quality short videos. ,Organize and maintain a library of short-form video assets, ensuring accessibility for various distribution channels. ,Implement quality control measures to ensure all short videos meet established standards for content, branding, and technical specifications. ,Conduct regular reviews of short videos for accuracy, relevance, and adherence to brand guidelines. ,Work with platform partners to optimize the distribution and performance of short-form video content. ,Manage the scheduling and publishing of short videos on various platforms, ensuring timely delivery and maximum visibility. ,Monitor key performance indicators (KPIs) for short-form video content, analyze data, and generate reports on content performance. ,Provide insights to inform content strategy and improvements in engagement and reach. ,Collaborate with cross-functional teams, including marketing, social media, and analytics, to align short video initiatives with broader organizational goals. ,Communicate with content creators and contributors to provide guidance, feedback, and support. ,Stay informed about industry trends, emerging technologies, and platform updates related to short-form video content. ,Propose and implement innovative approaches to enhance the production and distribution of short videos.","Bachelor's degree in Media Studies, Communications, or a related field.,Proven experience in content operations, video production, or a related role.,Familiarity with short-form video platforms and trends.,Strong organizational and project management skills.,Excellent communication and collaboration skills.,Bachelor's degree in Media Studies, Communications, or a related field.,Minimum of 2 years of experience in content operations, video production, or a related field.,Attention to detail in ensuring videos meet established quality standards.,Ability to identify and address issues related to content accuracy and brand guidelines.,Strong communication and collaboration skills to work effectively with cross-functional teams.,Ability to provide constructive feedback to content creators.,Ability to adapt to changes in the content landscape and implement new strategies accordingly.,Flexibility in managing multiple tasks and priorities.,Stay updated on industry trends, emerging technologies, and platform updates related to short-form video content.","METAHOMES, established in 2022 and owned by Metaworld Group which the headquarters locate in Dubai, United Arab Emirates, is a global travel experience and real estate transaction platform with advanced and creative technologies. It’s dedicated to innovate the investment and transactions for the real estate industry by providing the best experience for global travelers and transaction services for our customers all over the world, helping our customers to obtain the largest benefit from real estate investment with creative technologies..METAHOMES provides products and services including the search online and reservation of homestays, hotels, holiday houses, apartments, etc. Meanwhile, METAHOMES also provides global transaction services in real estate market by helping our customers to search and transact the properties. METAHOMES will use advanced VR, AI, IOT technologies to provide our customers with immersive experience, imitating the real experience during the property tour and provide the full intelligent services when our customers are dealing with the transactions in real estate market that can let you easily find your favorited accommodations or the inspiration for the future reservations.",,"AED 5,000 to 8,000"
Digital Project Manager- 6 months contract,https://www.gulftalent.com/uae/jobs/digital-project-manager-6-months-contract-396688,Ultimate HR Solutions,"Dubai, UAE","Contract,Support the definition of marketing interventions along customer’s lifecycle stages that will drive education, ensure activation, increase usage, develop advocacy via recognition, and reduce churn.,Help in defining the right segments and channels for each customer/intervention.,Define customer journey adapted to each marketing intervention.,Implement and maintain each lifecycle campaign with a focus on automation, relevancy, brand alignment and hyper personalization.,Work with MarTech and Digital team to implement the necessary attributes and triggers.,Work with Programme Marketing team to create offers when required,Test different offer designs and communication vehicles.,Write, edit and proofread copy for all communications/offers/channels part of the implementation of each use case.,Work with Creative Marketing team to create visuals required for the campaign.,Ensure consistency across campaign and relevancy with the target.,Track performance to ensure stability and relevancy of campaigns over time.,Support in gathering results across lifecycle interventions in collaboration with analytics team.",,"Founded in 2001, Ultimate HR Solutions bears the market reputation of being a complete HR Services provider, precise and pro-active in locating and managing human resources. Our client-friendly process and human capital infrastructure allows us to service ever changing client requirements in an efficient and effective manner. With comprehensive experience servicing world-class clientele and top-caliber candidates across a wide spectrum of industries, we measure our success through our growing list of satisfied clients. UHRS started with humble beginnings as a preferred recruitment partner, and from there branched out into outsourcing/ contract staffing.",,
Executive Assistant - French Speaking,https://www.gulftalent.com/uae/jobs/executive-assistant-french-speaking-396684,Robert Half,UAE,"Full Time. Robert Half are working with a leading organisation based in the Dubai, who are seeking an experienced Executive Assistant to support their CEO. Must be French speaking.,Full diary management for the CEO,Booking all travel requests,Office management,Arranging high level meetings,Inbox management, flagging most critical issues and ensuring completion","Must be French speaking,2 to 5 years minimum experience ,Excellent communication with the ability to interact at the most senior level,Excellent computer skills,You must be able to support out-with office hours as per the business needs","Founded in 1948, Robert Half International Inc. (NYSE symbol: RHI) is the world\'s first and largest specialized staffing firm and a member of the S&P 500 index. We are a global leader in professional staffing and consulting services and the parent company of Protiviti, a leading independent internal audit and business and technology risk consulting firm. For 2006, Robert Half International reported revenues of $4 billion and now has staffing and consulting operations in more than 400 locations worldwide.",,"Up to 15,000- 18,000 AED per month, plus company benefits"
Financial Controller,https://www.gulftalent.com/uae/jobs/financial-controller-396527,East Executive,"Dubai, UAE","Full Time. Tracking, reporting, and analysing budget variances,Reviewing the company's financial statements to ensure they are accurate,Preparing month-end reports for management, including profit and loss statements, balance sheets, and cash flow statements,Recommending changes in policies or procedures that will improve financial performance,Forecasting future financial performance,Preparing and analysing budgets,Providing accurate financial reports to management,Ensuring compliance with government regulations","+7 years of experience in finance & accounting with minimum 3-4 years in a FMCG, Food Services or Pharma Industry ,University Degree in Finance with a certification preferably (CFP, CMA, CPA, CFA),Thorough knowledge of accounting principles and procedures,Experience with creating financial statements,Experience with general ledger functions and the month-end/year end close process,Working knowledge of Net-suite, Oracle will be an advantage","The Middle East Executive Group has become the first choice for industry professionals wanting to work in the Gulf region.,We understand exactly how supply chain performance and sales performance impacts the bottom line and top line of product led businesses and we have the experience, network & expertise to match skilled professionals with exciting new roles that suit their experience, passion and drive in this highly strategic industry.,Commercial Management & Sales,Supply Chain & Logistics,Strategic HR,Strategy,Engineering",,
